ID,STATE,Regions,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
1,Alabama,3,4672840,4718206,4757938,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185
2,Alaska,4,680300,687455,698895,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545
3,Arizona,4,6167681,6280362,6343154,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717
4,Arkansas,3,2848650,2874554,2896843,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804
5,California,4,36250311,36604337,36961229,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223
6,Colorado,4,4803868,4889730,4972195,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736
7,Connecticut,1,3527270,3545579,3561807,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287
8,Delaware,3,871749,883874,891730,899593,907381,915179,923576,932487,941252,948921,956823,965479,973764
9,District of Columbia,3,574404,580236,592228,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749
10,Florida,3,18367842,18527305,18652644,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737
11,Georgia,3,9349988,9504843,9620846,9711881,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423
12,Hawaii,4,1315675,1332213,1346717,1363963,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872
13,Idaho,4,1505105,1534320,1554439,1570746,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065
14,Illinois,2,12695866,12747038,12796778,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821
15,Indiana,2,6379599,6424806,6459325,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219
16,Iowa,2,2999212,3016734,3032870,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070
17,Kansas,2,2783785,2808076,2832704,2858190,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314
18,Kentucky,3,4256672,4289878,4317074,4348181,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673
19,Louisiana,3,4375581,4435586,4491648,4544532,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794
20,Maine,1,1327040,1330509,1329590,1327629,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,1344212
21,Maryland,3,5653408,5684965,5730388,5788645,5839419,5886992,5923188,5957283,5985562,6003323,6023868,6035802,6045680
22,Massachusetts,1,6431559,6468967,6517613,6566307,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503
23,Michigan,2,10001284,9946889,9901591,9877510,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857
24,Minnesota,2,5207203,5247018,5281203,5310828,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632
25,Mississippi,3,2928350,2947806,2958774,2970548,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149
26,Missouri,2,5887612,5923916,5961088,5995974,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428
27,Montana,4,964706,976415,983982,990697,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778
28,Nebraska,2,1783440,1796378,1812683,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408
29,Nevada,4,2601072,2653630,2684665,2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156
30,New Hampshire,1,1312540,1315906,1316102,1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711
31,New Jersey,1,8677885,8711090,8755602,8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190
32,New Mexico,4,1990070,2010662,2036802,2064552,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829
33,New York,1,19132335,19212436,19307066,19399878,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561
34,North Carolina,3,9118037,9309449,9449566,9574323,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084
35,North Dakota,2,652822,657569,664968,674715,685225,701176,722036,737401,754066,754434,754942,758080,762062
36,Ohio,2,11500468,11515391,11528896,11539336,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100
37,Oklahoma,3,3634349,3668976,3717572,3759944,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971
38,Oregon,4,3722417,3768748,3808600,3837491,3872036,3899001,3922468,3963244,4015792,4089976,4143625,4181886,4217737
39,Pennsylvania,1,12563937,12612285,12666858,12711160,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,12801989
40,Rhode Island,1,1057315,1055003,1053646,1053959,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1059361
41,South Carolina,3,4444110,4528996,4589872,4635649,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,5148714
42,South Dakota,2,791623,799124,807067,816166,823579,833566,842316,849129,853988,862996,872868,878698,884659
43,Tennessee,3,6175727,6247411,6306019,6355311,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,6829174
44,Texas,3,23831983,24309039,24801761,25241971,25645629,26084481,26480266,26964333,27470056,27914410,28295273,28628666,28995881
45,Utah,4,2597746,2663029,2723421,2775332,2814384,2853375,2897640,2936879,2981835,3041868,3101042,3153550,3205958
46,Vermont,1,623481,624151,624817,625879,627049,626090,626210,625214,625216,623657,624344,624358,623989
47,Virginia,3,7751000,7833496,7925937,8023699,8101155,8185080,8252427,8310993,8361808,8410106,8463587,8501286,8535519
48,Washington,4,6461587,6562231,6667426,6742830,6826627,6897058,6963985,7054655,7163657,7294771,7423362,7523869,7614893
49,West Virginia,3,1834052,1840310,1847775,1854239,1856301,1856872,1853914,1849489,1842050,1831023,1817004,1804291,1792147
50,Wisconsin,2,5610775,5640996,5669264,5690475,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,5822434
51,Wyoming,4,534876,546043,559851,564487,567299,576305,582122,582531,585613,584215,578931,577601,578759